arm,bridge,checkpoint_sha256,dc_gain,kernel,maximum_gain,minimum_gain,nyquist_gain,r,receiver,role,seed,sender,stages,width_in,width_out,zero_operator
svd_multidepth,0,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.5077039898900295,3,1.5077039898900295,0.28088684952389764,0.47654250215371563,16,cfp_stage2,self,3418,cfp_stage2,"[2, 3]",512,512,False
svd_multidepth,0,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.5424416987902108,3,1.5424416987902108,0.21191018198233924,0.4982664012361544,16,cfp_stage2,cross,3418,oct_stage2,"[2, 3]",512,512,False
svd_multidepth,0,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.3143011442079606,3,1.3143011442079606,0.11495371559204505,0.4336700228957764,16,oct_stage2,cross,3418,cfp_stage2,"[2, 3]",512,512,False
svd_multidepth,0,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.6352473604034712,3,1.6352473604034712,0.10334286870796551,0.5414927576543116,16,oct_stage2,self,3418,oct_stage2,"[2, 3]",512,512,False
svd_multidepth,1,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.518459458126509,3,1.518459458126509,0.1950656875908525,0.49259791288065324,16,cfp_stage3,self,3418,cfp_stage3,"[2, 3]",512,512,False
svd_multidepth,1,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.108163363493877,3,1.108163363493877,0.10867054822776259,0.36510958988497844,16,cfp_stage3,cross,3418,oct_stage3,"[2, 3]",512,512,False
svd_multidepth,1,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,2.1903248933260424,3,2.1903248933260424,0.18709393458299411,0.7200209595750388,16,oct_stage3,cross,3418,cfp_stage3,"[2, 3]",512,512,False
svd_multidepth,1,31678607ebe01f5f335f8c355f7a08090d135289ae4621f717c5327806c5499b,1.2502453442900725,3,1.2502453442900725,0.07000443408585982,0.4149424996313299,16,oct_stage3,self,3418,oct_stage3,"[2, 3]",512,512,False
svd_multidepth,0,a0f4bb80f483ec7e1515c446f1cc443db49379965b58f2eee1dc83303a7ce9dd,1.3081054935496965,3,1.3081054935496965,0.2556523436575309,0.4123957838033484,16,cfp_stage2,self,3418,cfp_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,0,a0f4bb80f483ec7e1515c446f1cc443db49379965b58f2eee1dc83303a7ce9dd,1.3850646453314501,3,1.3850646453314501,0.1837476839860429,0.4489387957805808,16,cfp_stage2,cross,3418,oct_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,0,a0f4bb80f483ec7e1515c446f1cc443db49379965b58f2eee1dc83303a7ce9dd,1.5069033673313452,3,1.5069033673313452,0.11011042423368333,0.49777082297276,16,oct_stage2,cross,3418,cfp_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,0,a0f4bb80f483ec7e1515c446f1cc443db49379965b58f2eee1dc83303a7ce9dd,1.3897400440837608,3,1.3897400440837608,0.09081141069685071,0.46017289377846105,16,oct_stage2,self,3418,oct_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,1,a0f4bb80f483ec7e1515c446f1cc443db49379965b58f2eee1dc83303a7ce9dd,1.522187500536702,3,1.522187500536702,0.20727736762572924,0.4931061550488529,16,cfp_stage3,self,3418,cfp_stage3,"[2, 3, 4]",512,512,False
svd_multidepth,1,a0f4bb80f483ec7e1515c446f1cc443db49379965b58f2eee1dc83303a7ce9dd,1.0294949427043039,3,1.0294949427043039,0.10938871576653314,0.33830058325994844,16,cfp_stage3,cross,3418,oct_stage3,"[2, 3, 4]",512,512,False
