id,primary,seeds,rhos,branches,difference_pp,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high,bootstrap_sd_pp,classification,zero_variance
"basis_geometry_interaction_seeds[3418]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,[3418],"[0.0625, 0.125, 0.25]",['oct'],-0.7744806080758941,-4.693493372965769,3.1982632710879897,,,1.9957453442576312,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3418]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,[3418],"[0.0625, 0.125, 0.25]","['cfp', 'oct']",0.22826703548009775,-2.573485978714454,3.086235043592698,,,1.4335689397286007,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3418]_rhos[0.0625]_branches[0],False,[3418],[0.0625],['cfp'],2.4221699799056466,-3.4904988000633033,8.294454762412093,,,2.996411214006339,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3418]_rhos[0.0625]_branches[1],False,[3418],[0.0625],['oct'],1.338729737620298,-5.18329475404684,7.977360972749171,,,3.302611975270022,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3418]_rhos[0.0625]_branches[0, 1]",False,[3418],[0.0625],"['cfp', 'oct']",1.8804498587629723,-2.7776443249063436,6.501357596552679,,,2.3759213650667093,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3418]_rhos[0.125]_branches[0],False,[3418],[0.125],['cfp'],0.4227798361494024,-5.999803304834044,6.918692765288194,,,3.2610691039383113,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3418]_rhos[0.125]_branches[1],False,[3418],[0.125],['oct'],-1.1949444077882703,-7.5078069138215415,5.177643601581792,,,3.235887249445922,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3418]_rhos[0.125]_branches[0, 1]",False,[3418],[0.125],"['cfp', 'oct']",-0.38608228581943393,-4.9883372521323635,4.332523523144756,,,2.376165136983329,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3418]_rhos[0.25]_branches[0],False,[3418],[0.25],['cfp'],0.8480942210532163,-4.1827003493270904,6.00373073217044,,,2.6073433084104884,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3418]_rhos[0.25]_branches[1],False,[3418],[0.25],['oct'],-2.4672271540596995,-9.038450072204236,4.255541825520547,,,3.396354924686467,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3418]_rhos[0.25]_branches[0, 1]",False,[3418],[0.25],"['cfp', 'oct']",-0.8095664665032416,-5.3395057666744785,3.6597954124470373,,,2.2926653154746073,secondary_no_simultaneous_classification,False
"svd_oct_to_cfp_contribution_seeds[3416, 3417, 3418]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['cfp'],4.135044643885854,1.7828594503684592,6.512634755800656,,,1.198358928781012,secondary_no_simultaneous_classification,False
"svd_oct_to_cfp_contribution_seeds[3416, 3417, 3418]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['oct'],2.2993447937119598,-0.20116997937236383,4.7987421815511935,,,1.2748465313307011,secondary_no_simultaneous_classification,False
"svd_oct_to_cfp_contribution_seeds[3416, 3417, 3418]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]","['cfp', 'oct']",3.2171947187989067,1.4500972130894239,4.9772106697203675,,,0.8942236272767574,secondary_no_simultaneous_classification,False
