method,rho,seed_subset,difference_pp,ci95_low,ci95_high
Random QR / Linear resampling,1/4,[3418],1.5531200836734316,-2.761820602433114,5.80623098848795
SVD / OCT to CFP,1/4,"[3416, 3417, 3418]",1.517213419106293,-2.0026873746036586,4.9716241349843875
SVD / OCT to CFP,1/4,[3416],-0.05922655217772688,-5.2930631153991845,5.118095942453326
SVD / OCT to CFP,1/4,[3417],4.359318696408332,-1.3171853304491077,9.970897366290902
SVD / OCT to CFP,1/4,[3418],0.2515481130882735,-4.847960439374337,5.418984418603542
SVD / CFP to OCT,1/4,"[3416, 3417, 3418]",-0.672143928781003,-3.7117145990148184,2.3693387389139655
SVD / CFP to OCT,1/4,[3416],-2.6954161942415733,-8.386913020951402,3.040907240059778
SVD / CFP to OCT,1/4,[3417],0.6789844078985641,-5.0659749199636455,6.454152539999891
SVD / CFP to OCT,1/4,[3418],0.0,0.0,0.0
Random QR / OCT to CFP,1/4,"[3416, 3417, 3418]",1.8985682934065438,-1.6016810580159027,5.38862211819568
Random QR / OCT to CFP,1/4,[3416],0.26914461855706007,-4.978543144436719,5.447049669563982
Random QR / OCT to CFP,1/4,[3417],2.7029803554510456,-3.036616261401619,8.430403262023173
Random QR / OCT to CFP,1/4,[3418],2.7235799062115262,-2.0271317227426287,7.721957375712826
Random QR / CFP to OCT,1/4,"[3416, 3417, 3418]",-0.5807338925994979,-3.397632678536059,2.2521720644254857
Random QR / CFP to OCT,1/4,[3416],-3.030017406632346,-8.212047218169449,2.363890231711632
Random QR / CFP to OCT,1/4,[3417],1.287815728833852,-4.4917348130524655,7.060231550246584
Random QR / CFP to OCT,1/4,[3418],0.0,0.0,0.0
"MMTM / ratio 4, hidden 256",N/A,"[3416, 3417, 3418]",0.0,0.0,0.0
"MMTM / ratio 4, hidden 256",N/A,[3416],0.0,0.0,0.0
"MMTM / ratio 4, hidden 256",N/A,[3417],0.0,0.0,0.0
"MMTM / ratio 4, hidden 256",N/A,[3418],0.0,0.0,0.0
"MMTM / ratio 8, hidden 128",N/A,"[3416, 3417, 3418]",0.0,0.0,0.0
"MMTM / ratio 8, hidden 128",N/A,[3416],0.0,0.0,0.0
"MMTM / ratio 8, hidden 128",N/A,[3417],0.0,0.0,0.0
"MMTM / ratio 8, hidden 128",N/A,[3418],0.0,0.0,0.0
