protocol,structure,backbone_lr,metric,count,mean_percent,sample_sd_pp
branch,linear_resample_M32_S128_k3_r11,3e-05,late_fusion_macro_f1,3,68.34633937910623,3.895991981680057
branch,linear_resample_M32_S128_k3_r11,6e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M32_S128_k3_r11,6e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M32_S128_k3_r11,6e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M32_S128_k3_r11,6e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M32_S128_k3_r11,6e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,radon_M32_S128_k3_r11,3e-05,cfp_macro_f1,3,66.76436255748331,3.446483685071233
branch,radon_M32_S128_k3_r11,3e-05,oct_macro_f1,3,64.0588228367845,0.22296928987939674
branch,radon_M32_S128_k3_r11,3e-05,branch_mean_macro_f1,3,65.41159269713391,1.6170367010011426
branch,radon_M32_S128_k3_r11,3e-05,primary_macro_f1,3,65.41159269713391,1.6170367010011426
branch,radon_M32_S128_k3_r11,3e-05,late_fusion_macro_f1,3,66.62405766223031,2.464284904660795
branch,radon_M32_S128_k3_r11,6e-05,cfp_macro_f1,3,66.39745501413256,3.1595151352647703
